City,Hotel_Name,Hotel_over_all_rate,Staff,Facilities,Cleanliness,Comfort,Value_for_money,Location,Free_Wifi
Nefertiti Hotel Luxor (Hotel) (Egypt) Deals,Nefertiti Hotel Luxor,8.6,9.4,8.2,8.6,8.5,8.9,9.5,7.6
Jolie Ville Hotel & Spa Kings Island Luxor (Resort) (Egypt) Deals,Jolie Ville Hotel & Spa Kings Island Luxor,8.9,9.0,9.1,9.3,9.2,8.9,9.2,8.3
"Steigenberger Resort Achti (Hotel), Luxor (Egypt) Deals",Steigenberger Resort Achti,8.6,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate
